"Region","Year","VerySatisfied","SlightlySatisfied","SatisfiedRate","Neutral","SlightlyDissatisfied","VeryDissatisfied","DissatisfiedRate","SatisfactionScore","SuicideRate_Total","SuicideRate_Male","SuicideRate_Female"
"?꾧뎅","2020","14.1","28.6","42.7","44.9","10.2","2.3","12.5","3.423","25.7","35.5","15.9"
"?꾧뎅","2021","9.8","24.2","34","43.1","18.1","4.8","22.9","3.161","26","35.9","16.2"
"?꾧뎅","2022","12.1","31.2","43.3","42.6","11.6","2.5","14.1","3.388","25.2","35.3","15.1"
"?꾧뎅","2023","11.9","30.3","42.2","43.3","11.5","3","14.5","3.366","27.3","38.3","16.5"
"?꾧뎅","2024","11.5","28.6","40.1","47.2","10.5","2.2","12.7","3.367","29.1","41.8","16.6"
"서울특별시","2020","15.5","30.9","46.4","40.4","10.7","2.5","13.2","3.462","22.7","30.3","15.4"
"서울특별시","2021","9.3","24.8","34.1","42.3","18.1","5.5","23.6","3.143","22.6","30.5","15"
"서울특별시","2022","11.7","31.5","43.2","41.9","12","2.9","14.9","3.371","21.4","28.9","14.4"
"서울특별시","2023","11.4","30.5","41.9","43.3","11.8","3.1","14.9","3.356","23.2","31.2","15.6"
"서울특별시","2024","12.4","33.9","46.3","41.8","9.3","2.6","11.9","3.442","24.1","33.9","14.9"
"부산광역시","2020","13.5","26.6","40.1","46.1","11.3","2.5","13.8","3.373","27.4","38.8","16.4"
"부산광역시","2021","6.8","24.3","31.1","46.4","16.6","5.9","22.5","3.095","27.7","37.9","17.9"
"부산광역시","2022","10.8","30.2","41","43.7","12.5","2.7","15.2","3.336","27.3","39.1","16"
"부산광역시","2023","10.2","30.3","40.5","44.2","12.3","3","15.3","3.324","29.1","42.7","16.2"
"부산광역시","2024","12.1","25.4","37.5","47.5","12","3","15","3.316","30.3","42.7","18.5"
"대구광역시","2020","9.7","23.5","33.2","51.1","13.7","2.1","15.8","3.253","26.1","35.8","16.6"
"대구광역시","2021","9.4","21.6","31","46","19.6","3.5","23.1","3.141","26.3","38.2","14.7"
"대구광역시","2022","11.4","29.8","41.2","43.8","12.8","2.2","15","3.354","27","39.1","15.2"
"대구광역시","2023","11.2","26.4","37.6","45.2","14.2","3.1","17.3","3.287","28.1","39.1","17.4"
"대구광역시","2024","9.2","26.9","36.1","42.6","18.9","2.5","21.4","3.217","29.4","40.2","19"
"인천광역시","2020","14.6","27.8","42.4","45.1","9.5","3","12.5","3.415","26.5","37","15.9"
"인천광역시","2021","10.3","20.8","31.1","45.9","17.3","5.7","23","3.127","25.9","34.5","17.3"
"인천광역시","2022","11.9","27.4","39.3","45.7","11.5","3.5","15","3.327","25.8","35","16.6"
"인천광역시","2023","12.6","27.2","39.8","46.2","10.4","3.5","13.9","3.347","28.8","40.8","16.8"
"인천광역시","2024","9.5","18.5","28","58.3","11.6","2.2","13.8","3.218","31.2","45.9","16.6"
"광주광역시","2020","15.5","27.9","43.4","46.4","7.8","2.5","10.3","3.464","22.6","31.1","14.2"
"광주광역시","2021","10.3","27.8","38.1","42.5","15.3","4.2","19.5","3.25","26.4","38","15.1"
"광주광역시","2022","14.1","32.1","46.2","40.9","10.8","2.1","12.9","3.453","25","37.3","13"
"광주광역시","2023","11.4","31.6","43","44.2","10.2","2.5","12.7","3.389","27.3","39.5","15.4"
"광주광역시","2024","13.2","27.5","40.7","48.6","8.9","1.9","10.8","3.415","29.9","44.2","16"
"대전광역시","2020","14.5","26.8","41.3","46","10.8","1.8","12.6","3.411","27.2","37.9","16.5"
"대전광역시","2021","9.5","30.2","39.7","38.7","17.4","4.2","21.6","3.234","29.3","39.8","18.8"
"대전광역시","2022","13.8","37.5","51.3","37.2","9.5","2","11.5","3.516","25.7","33.1","18.4"
"대전광역시","2023","14.6","34.4","49","39.2","9.5","2.3","11.8","3.495","26.4","35","17.9"
"대전광역시","2024","16","31.2","47.2","43.2","8.1","1.5","9.6","3.521","31.2","41.7","20.8"
"울산광역시","2020","11.5","29.2","40.7","48.4","9.4","1.4","10.8","3.397","26.4","36.7","15.6"
"울산광역시","2021","13.2","23.3","36.5","39.6","18.3","5.6","23.9","3.202","28.5","40.7","15.5"
"울산광역시","2022","12.7","28.9","41.6","41.7","13.1","3.7","16.8","3.341","26.3","36.1","16.1"
"울산광역시","2023","11","30.4","41.4","41.4","14","3.2","17.2","3.32","32.7","46.8","17.9"
"울산광역시","2024","13.4","27.2","40.6","49.6","8.1","1.7","9.8","3.425","29.2","41.1","16.7"
"세종특별자치시","2020","25.2","33.5","58.7","33","6.8","1.6","8.4","3.742","18.4","18.5","18.4"
"세종특별자치시","2021","16","30.1","46.1","34.8","15","4.1","19.1","3.389","19","24.3","13.8"
"세종특별자치시","2022","17.9","34.9","52.8","36.5","9.3","1.4","10.7","3.586","23.3","34","12.7"
"세종특별자치시","2023","15.9","37.4","53.3","35.1","9.3","2.2","11.5","3.552","20","22.5","17.6"
"세종특별자치시","2024","16.5","26.3","42.8","36.4","17.4","3.4","20.8","3.351","23","29","16.9"
"경기도","2020","15.2","29.1","44.3","43.3","9.8","2.6","12.4","3.445","23.7","32.3","14.9"
"경기도","2021","10","23.3","33.3","41","20.5","5.2","25.7","3.124","23.6","31.3","15.7"
"경기도","2022","12.4","30.2","42.6","42.9","11.8","2.7","14.5","3.378","23.1","31.4","14.6"
"경기도","2023","11.8","29.5","41.3","43.1","12.3","3.3","15.6","3.342","25.1","35.1","15.1"
"경기도","2024","10.3","25.4","35.7","51.4","10.7","2.3","13","3.31","28.2","39.5","16.7"
"강원특별자치도","2020","13.9","31.9","45.8","42.3","9.4","2.5","11.9","3.453","33.2","45.6","20.7"
"강원특별자치도","2021","12.2","25.3","37.5","43.6","15","4","19","3.27","32.7","45.4","19.9"
"강원특별자치도","2022","13.7","31.9","45.6","40.3","12.1","2","14.1","3.432","33.1","47.5","18.5"
"강원특별자치도","2023","14.1","33","47.1","40.3","10.7","1.8","12.5","3.466","34.7","50.7","18.6"
"강원특별자치도","2024","12.1","30.1","42.2","47.7","8.5","1.7","10.2","3.427","34.3","52.3","16.2"
"충청북도","2020","12.4","28.1","40.5","46.8","10.4","2.4","12.8","3.38","27.1","38.5","15.4"
"충청북도","2021","11","24.5","35.5","46.2","14.8","3.4","18.2","3.246","31.8","44.5","18.7"
"충청북도","2022","11.4","31.2","42.6","43.2","11.6","2.6","14.2","3.372","29","38.3","19.4"
"충청북도","2023","13.5","31.8","45.3","39.9","11.6","3.2","14.8","3.408","33.3","45.3","20.8"
"충청북도","2024","13","27.7","40.7","47","10","2.2","12.2","3.39","31.8","46.7","16.4"
"충청남도","2020","12.1","24.7","36.8","52.8","8.9","1.4","10.3","3.369","34.7","47.9","21"
"충청남도","2021","12.4","27.8","40.2","41.7","15.3","2.8","18.1","3.317","32.2","45","18.8"
"충청남도","2022","15.2","32.3","47.5","43.1","7.7","1.7","9.4","3.516","33.2","48.3","17.3"
"충청남도","2023","15.1","30","45.1","43.3","9.4","2.3","11.7","3.465","36.5","50","22.2"
"충청남도","2024","16.3","30.7","47","46.7","4.9","1.3","6.2","3.555","34.8","51.1","17.6"
"전북특별자치도","2020","12.4","28.7","41.1","46.6","10.3","2","12.3","3.392","27.8","41.7","14"
"전북특별자치도","2021","10.5","27.7","38.2","42.9","15.7","3.2","18.9","3.266","28.5","42.5","14.6"
"전북특별자치도","2022","11","32.8","43.8","43.5","10.1","2.5","12.6","3.394","26.1","38.5","13.8"
"전북특별자치도","2023","11.8","35.3","47.1","37.5","11.4","3.9","15.3","3.394","25.6","37.4","13.8"
"전북특별자치도","2024","10.6","34.2","44.8","41","11.1","3","14.1","3.38","32.3","45.7","19"
"전라남도","2020","14.2","26.7","40.9","49.3","8.2","1.5","9.7","3.436","28.5","41.3","15.6"
"전라남도","2021","11.6","25.9","37.5","44.3","14.6","3.5","18.1","3.272","30.2","42.7","17.6"
"전라남도","2022","12.2","32.5","44.7","41.6","11.4","2.3","13.7","3.409","26.6","38.7","14.5"
"전라남도","2023","13.5","28.5","42","46.7","9.1","2.2","11.3","3.42","29.2","40.9","17.4"
