"Region","Gender","Year","VerySatisfied","SlightlySatisfied","SatisfiedRate","Neutral","SlightlyDissatisfied","VeryDissatisfied","DissatisfiedRate","SatisfactionScore","SuicideRate"
"전국","Total","2020","14.1","28.6","42.7","44.9","10.2","2.3","12.5","3.423","25.7"
"전국","Total","2021","9.8","24.2","34","43.1","18.1","4.8","22.9","3.161","26"
"전국","Total","2022","12.1","31.2","43.3","42.6","11.6","2.5","14.1","3.388","25.2"
"전국","Total","2023","11.9","30.3","42.2","43.3","11.5","3","14.5","3.366","27.3"
"전국","Total","2024","11.5","28.6","40.1","47.2","10.5","2.2","12.7","3.367","29.1"
"전국","Male","2020","15.2","28.3","43.5","44.6","9.5","2.3","11.8","3.443","35.5"
"전국","Male","2021","10.2","23.6","33.8","42.8","18.2","5.3","23.5","3.155","35.9"
"전국","Male","2022","12.6","30.8","43.4","42.4","11.4","2.7","14.1","3.389","35.3"
"전국","Male","2023","12.4","30.1","42.5","43","11.3","3.3","14.6","3.373","38.3"
"전국","Male","2024","11.9","28.6","40.5","47.1","10.1","2.3","12.4","3.377","41.8"
"전국","Female","2020","13","28.9","41.9","45.1","10.8","2.2","13","3.397","15.9"
"전국","Female","2021","9.5","24.8","34.3","43.4","18.1","4.3","22.4","3.174","16.2"
"전국","Female","2022","11.6","31.6","43.2","42.7","11.7","2.3","14","3.382","15.1"
"전국","Female","2023","11.5","30.5","42","43.6","11.8","2.7","14.5","3.366","16.5"
"전국","Female","2024","11.1","28.6","39.7","47.3","10.9","2.2","13.1","3.358","16.6"
"서울특별시","Total","2020","15.5","30.9","46.4","40.4","10.7","2.5","13.2","3.462","22.7"
"서울특별시","Total","2021","9.3","24.8","34.1","42.3","18.1","5.5","23.6","3.143","22.6"
"서울특별시","Total","2022","11.7","31.5","43.2","41.9","12","2.9","14.9","3.371","21.4"
"서울특별시","Total","2023","11.4","30.5","41.9","43.3","11.8","3.1","14.9","3.356","23.2"
"서울특별시","Total","2024","12.4","33.9","46.3","41.8","9.3","2.6","11.9","3.442","24.1"
"서울특별시","Male","2020","17.5","30.3","47.8","40.9","9","2.4","11.4","3.518","30.3"
"서울특별시","Male","2021","9.5","23.5","33","42","19","6","25","3.115","30.5"
"서울특별시","Male","2022","13","30.7","43.7","41.3","11.8","3.2","15","3.385","28.9"
"서울특별시","Male","2023","11.4","29.9","41.3","43.9","11.4","3.4","14.8","3.345","31.2"
"서울특별시","Male","2024","12.9","33.1","46","42.2","8.9","2.8","11.7","3.441","33.9"
"서울특별시","Female","2020","13.7","31.5","45.2","39.9","12.3","2.7","15","3.415","15.4"
"서울특별시","Female","2021","9.1","26","35.1","42.6","17.3","5","22.3","3.169","15"
"서울특별시","Female","2022","10.5","32.3","42.8","42.5","12.2","2.6","14.8","3.362","14.4"
